index,context,target,output,neg1,neg2,neg3
168,my children are my life.,i love kids and am a doctor.,I work with kids and love to spend time with my own kids.,"When my children are older, I plan to look after them, and I know my parents well.",My father has a lot of money to invest in household repairs.,My father lives with me and has always had a lot of knowledge about house repairs.
169,my children are my life.,i love kids and am a doctor.,"Honestly, it's not just my kids, but all kids.",I would rather stay with my parents.,I still spend a lot of time with my parents.,The only things I love more than my children are my job and my family.
170,my children are my life.,i love kids and am a doctor.,Usually parents or those with kids will say that -- it makes sense though from a bare perspective on life and health/living altogether I suppose.,I can't help but love children.,"My oldest two kids are all adults and I make sure that they're good parents, especially when I'm paying bills.",I love my job so much because I have to deal with them and they love me.
171,my daughters say i am a great mother.,i have a family of three daughters.,How many children do you have?,Yes they are great people who love to keep me company while I cook.,she doesn't know how to raise a child so she just throws out the occasional snack when she's out in the yard playing.,My daughters love to eat too much and have a problem with eating only shelled foods.
173,i constantly have feelings of anger.,i hang out in clubs and look at the folks drinking.,I get mad a lot too.  I think I need to stay out of clubs where there is too much drinking.,The last time I was angry I was fired.,My job is stressful because of things like this.,"That's why I think that we should get rid of the roof on many buildings, it gives people too much problems, particularly when we're building houses and such."
174,i constantly have feelings of anger.,i hang out in clubs and look at the folks drinking.,My friends and family annoy me so I just like to people watch.,I do as well.  But they are so minor that they don't really affect me.,I think education is important.,I think if I moved away from work I would be happier.
176,i think posting pics on facebook of my everyday life is fun.,cooking is my passion !.,I love posting pics.  I always post what I have cooked.,I'm not usually social so I am good at posting pics.,I like doing that.,I like to socialize with others and if not doing that there is always a pool.
177,i think posting pics on facebook of my everyday life is fun.,cooking is my passion !.,I love posting about my hobbies on Facebook.,I love sharing pictures on Facebook.,I do enjoy food.  I like to cook with friends so they'll eat at home to celebrate their friends'trips to hamburgers.,I like taking photos of my food.
178,i think posting pics on facebook of my everyday life is fun.,cooking is my passion !.,Sounds like something you are passionate about.,I like to take pictures.,I like to post pictures of my family on my Facebook.,I like sharing my Facebook on occasion.
179,i think posting pics on facebook of my everyday life is fun.,cooking is my passion !.,I cook when I am not posting pics on facebook.,I like to show my friends before they go to the gym.,It doesn't take much to draw attention to some peoples appearance.,It's my hobby.
180,i think posting pics on facebook of my everyday life is fun.,cooking is my passion !.,I post pictures of myself cooking.,My family just bought a house.,So do I.,i like to post pictures of my natural history on Facebook
182,i enjoy learning.,i like to absorb written materials.,"Many people learn best by reading, but some learn best by doing.",I love learning how to cook.,I love cooking.,Cooking is a passion for me as well.  Cooking for myself.
183,i enjoy learning.,i like to absorb written materials.,I am always seeking to gain knowledge.  One method I use is absorbing written materials.,I am currently working on my masters in business and technology.,I had to learn about certain types of art in school.,That's a good thing that you have a good educational program.
184,i enjoy learning.,i like to absorb written materials.,Learning is fun to me.  I can absorb written material like a sponge.,I like learning about paintings and painting as well.,I like learning about art.,"I love learning, but sometimes I just want to spend my time drawing."
